order_id,order_date,ship_date,year,month,quarter,week,season,customer_id,customer_type,customer_age_group,customer_gender,loyalty_status,customer_lifetime_value,product_id,product_name,category,sub_category,brand,product_condition,quantity,unit_price,discount,shipping_method,shipping_cost,total_sales,cost_price,profit,profit_margin,revenue_target,target_achievement_pct,region,city,warehouse,segment,sales_channel,marketing_source,salesperson_id,sales_team,commission,payment_mode,order_status,return_flag,delivery_time_days,customer_rating,customer_type_flag,profit_category,sales_person
ORD-10035,26-03-2025,31-03-2025,2025,March,1,13,Spring,CUST-611,Individual,50+,Other,Gold,3491,PROD-SMA-556,Samsung Smartphones,Electronics,Smartphones,Samsung,New,10,498.3,0,Standard,19.37,4983,348.81,1475.53,0.2961,4951.96,1.0063,East,DC,WH-Beta,Home Office,Mobile App,Affiliate,SP-115,Team Beta,73.78,PayPal,Delivered,No,5,3,1,High,Mike Ross
ORD-10036,28-10-2023,29-10-2023,2023,October,4,43,Fall,CUST-242,Corporate,18-25,Other,Platinum,1410,PROD-BAG-119,Dell Bags,Accessories,Bags,Dell,New,6,122.21,0.1,Express,38.72,659.93,85.55,107.91,0.1635,655.82,1.0063,North,New York,WH-Alpha,Consumer,In-store,Affiliate,SP-130,Team Alpha,5.4,Debit Card,Delivered,No,1,3,2,Medium,John Doe
ORD-10037,01-09-2025,04-09-2025,2025,September,3,36,Fall,CUST-748,Corporate,18-25,Female,Bronze,4996,PROD-HEA-609,IKEA Headphones,Electronics,Headphones,IKEA,New,19,619.36,0.2,Express,37.17,9414.27,433.55,1139.65,0.1211,9355.62,1.0063,North,Boston,WH-Alpha,Corporate,Online,Direct,SP-102,Team Alpha,56.98,Cash,Delivered,No,3,4,2,High,John Doe
ORD-10038,25-02-2025,01-03-2025,2025,February,1,9,Winter,CUST-410,Individual,36-50,Female,Silver,1449,PROD-HEA-252,Nike Headphones,Electronics,Headphones,Nike,New,10,468.22,0,Standard,17.63,4682.2,327.75,1387.07,0.2962,4653.03,1.0063,West,Los Angeles,WH-Alpha,Corporate,Mobile App,Search Engine,SP-123,Team Beta,69.35,PayPal,Delivered,No,4,4,1,High,Jane Smith
ORD-10039,26-02-2024,27-02-2024,2024,February,1,9,Winter,CUST-347,Small Business,36-50,Female,Silver,2575,PROD-TAB-768,Dell Tablets,Electronics,Tablets,Dell,Refurbished,2,473.61,0.1,Standard,19.55,852.5,331.53,169.89,0.1993,847.19,1.0063,North,New York,WH-Gamma,Corporate,Online,Direct,SP-140,Team Alpha,8.49,Credit Card,Delivered,No,1,1,3,Medium,John Doe
ORD-10040,06-07-2025,09-07-2025,2025,July,3,27,Summer,CUST-358,Corporate,26-35,Male,Platinum,3014,PROD-BAG-755,Nike Bags,Accessories,Bags,Nike,Refurbished,7,163.49,0,Standard,17.94,1144.43,114.44,325.41,0.2843,1137.3,1.0063,East,Philadelphia,WH-Alpha,Corporate,Online,Affiliate,SP-145,Team Gamma,16.27,Credit Card,Delivered,No,3,4,2,Medium,Jane Smith
ORD-10041,23-01-2024,29-01-2024,2024,January,1,4,Winter,CUST-774,Small Business,36-50,Male,Bronze,3831,PROD-HEA-100,HP Headphones,Electronics,Headphones,HP,New,7,486.5,0.05,Standard,10.8,3235.22,340.55,840.57,0.2598,3215.06,1.0063,West,San Francisco,WH-Beta,Consumer,Online,Affiliate,SP-143,Team Gamma,42.03,Credit Card,Delivered,No,6,2,3,High,Mike Ross
ORD-10042,14-05-2024,20-05-2024,2024,May,2,20,Spring,CUST-257,Individual,26-35,Female,Gold,3529,PROD-SHO-138,HP Shoes,Clothing,Shoes,HP,Refurbished,8,109.03,0,Express,38.88,872.24,76.32,222.8,0.2554,866.81,1.0063,West,Seattle,WH-Gamma,Consumer,In-store,Email,SP-101,Team Beta,11.14,Cash,Delivered,No,6,5,1,Medium,Harvey Specter
ORD-10043,11-07-2025,16-07-2025,2025,July,3,28,Summer,CUST-832,Corporate,50+,Male,Bronze,600,PROD-PAN-780,Samsung Pants,Clothing,Pants,Samsung,New,11,114.26,0.1,Standard,7.08,1131.17,79.98,244.31,0.216,1124.12,1.0063,East,DC,WH-Beta,Home Office,In-store,Search Engine,SP-144,Team Beta,12.22,Debit Card,Delivered,No,5,4,2,Medium,Rachel Zane
ORD-10044,09-05-2025,13-05-2025,2025,May,2,19,Spring,CUST-533,Corporate,36-50,Male,Bronze,2900,PROD-WAT-499,Adidas Watches,Accessories,Watches,Adidas,Refurbished,6,151.49,0,Standard,11.78,908.94,106.04,260.92,0.2871,903.28,1.0063,South,Atlanta,WH-Beta,Consumer,Mobile App,Search Engine,SP-142,Team Beta,13.05,Credit Card,Delivered,No,4,3,2,Medium,Mike Ross
ORD-10045,05-08-2023,10-08-2023,2023,August,3,31,Summer,CUST-908,Individual,18-25,Other,Platinum,3871,PROD-TAB-372,IKEA Tables,Furniture,Tables,IKEA,New,3,246.2,0.15,Express,9.74,627.81,172.34,101.05,0.161,623.9,1.0063,East,Baltimore,WH-Beta,Consumer,In-store,Affiliate,SP-141,Team Beta,5.05,Debit Card,Delivered,No,5,4,1,Medium,John Doe
ORD-10046,07-06-2025,13-06-2025,2025,June,2,23,Summer,CUST-486,Corporate,18-25,Other,Bronze,2843,PROD-SHI-255,Logitech Shirts,Clothing,Shirts,Logitech,New,3,121.77,0.3,Express,42.14,255.72,85.24,-42.14,-0.1648,254.13,1.0063,East,DC,WH-Gamma,Corporate,Mobile App,Affiliate,SP-109,Team Alpha,0,PayPal,Delivered,No,6,1,2,Loss,Harvey Specter
ORD-10047,25-05-2025,28-05-2025,2025,May,2,21,Spring,CUST-175,Individual,36-50,Male,Gold,852,PROD-PEN-816,Levis Pens,Office Supplies,Pens,Levis,New,15,51.76,0.2,Express,6.98,621.12,20.7,303.64,0.4889,617.25,1.0063,West,San Francisco,WH-Beta,Home Office,Mobile App,Direct,SP-116,Team Alpha,15.18,Credit Card,Delivered,No,3,5,1,Medium,Rachel Zane
ORD-10048,11-05-2024,12-05-2024,2024,May,2,19,Spring,CUST-559,Corporate,26-35,Male,Silver,3455,PROD-SHI-437,Samsung Shirts,Clothing,Shirts,Samsung,New,1,115.59,0,Express,34.91,115.59,80.91,-0.23,-0.002,114.87,1.0063,East,DC,WH-Alpha,Home Office,Online,Direct,SP-138,Team Alpha,0,Cash,Delivered,No,1,5,2,Loss,Rachel Zane
ORD-10049,04-02-2023,06-02-2023,2023,February,1,5,Winter,CUST-712,Individual,18-25,Female,Platinum,1518,PROD-STO-500,HP Storage,Office Supplies,Storage,HP,New,10,47.9,0,Overnight,7,479,19.16,280.4,0.5854,476.02,1.0063,South,Dallas,WH-Alpha,Corporate,Online,Email,SP-129,Team Gamma,14.02,Credit Card,Delivered,No,2,3,1,Medium,Donna Paulsen
ORD-10050,03-07-2023,07-07-2023,2023,July,3,27,Summer,CUST-590,Corporate,26-35,Male,Gold,1679,PROD-BAG-688,Apple Bags,Accessories,Bags,Apple,Refurbished,6,163.06,0.05,Overnight,40.39,929.44,114.14,204.21,0.2197,923.65,1.0063,South,Miami,WH-Beta,Home Office,In-store,Affiliate,SP-143,Team Gamma,10.21,Cash,Delivered,No,4,5,2,Medium,Donna Paulsen
ORD-10051,13-05-2024,18-05-2024,2024,May,2,20,Spring,CUST-696,Small Business,36-50,Other,Silver,4036,PROD-BED-103,Adidas Beds,Furniture,Beds,Adidas,Refurbished,2,352.75,0.1,Overnight,46.07,634.95,246.92,95.04,0.1497,630.99,1.0063,South,Atlanta,WH-Alpha,Consumer,Mobile App,Direct,SP-109,Team Beta,4.75,PayPal,Delivered,No,5,2,3,Medium,John Doe
ORD-10052,04-04-2025,05-04-2025,2025,April,2,14,Spring,CUST-510,Small Business,36-50,Male,Platinum,4150,PROD-PEN-627,Levis Pens,Office Supplies,Pens,Levis,New,4,58.33,0.3,Overnight,26.91,163.32,23.33,43.09,0.2638,162.3,1.0063,West,Los Angeles,WH-Gamma,Home Office,Mobile App,Email,SP-116,Team Beta,2.15,Debit Card,Delivered,No,1,5,3,Medium,Donna Paulsen
ORD-10053,12-09-2024,13-09-2024,2024,September,3,37,Fall,CUST-647,Small Business,18-25,Female,Platinum,3002,PROD-STO-824,Apple Storage,Office Supplies,Storage,Apple,New,8,48.27,0.15,Express,41.2,328.24,19.31,132.56,0.4039,326.2,1.0063,East,DC,WH-Gamma,Corporate,Online,Search Engine,SP-115,Team Alpha,6.63,Debit Card,Returned,Yes,1,3,3,Medium,Rachel Zane
ORD-10054,28-02-2023,02-03-2023,2023,February,1,9,Winter,CUST-618,Corporate,36-50,Other,Silver,4319,PROD-JAC-889,Samsung Jackets,Clothing,Jackets,Samsung,Refurbished,1,102.7,0.05,Overnight,36.79,97.56,71.89,-11.12,-0.114,96.95,1.0063,North,Chicago,WH-Alpha,Home Office,Online,Affiliate,SP-138,Team Alpha,0,Debit Card,Delivered,No,2,5,2,Loss,Rachel Zane
ORD-10055,12-03-2024,15-03-2024,2024,March,1,11,Spring,CUST-990,Corporate,50+,Other,Silver,1479,PROD-PAP-602,Dell Paper,Office Supplies,Paper,Dell,New,6,50.87,0,Standard,40.8,305.22,20.35,142.32,0.4663,303.32,1.0063,East,Baltimore,WH-Alpha,Home Office,Online,Social Media,SP-137,Team Alpha,7.12,Credit Card,Delivered,No,3,4,2,Medium,Mike Ross
ORD-10056,20-10-2025,22-10-2025,2025,October,4,43,Fall,CUST-808,Small Business,50+,Other,Gold,1476,PROD-BEL-589,Logitech Belts,Accessories,Belts,Logitech,New,3,170.6,0.15,Standard,39.5,435.03,119.42,37.27,0.0857,432.32,1.0063,South,Atlanta,WH-Gamma,Home Office,In-store,Affiliate,SP-142,Team Beta,1.86,Credit Card,Returned,Yes,2,1,3,Medium,Donna Paulsen
ORD-10057,09-11-2025,16-11-2025,2025,November,4,45,Fall,CUST-528,Small Business,18-25,Other,Bronze,1871,PROD-BAG-546,Nike Bags,Accessories,Bags,Nike,New,7,141.69,0,Standard,14.24,991.83,99.18,283.33,0.2857,985.65,1.0063,East,DC,WH-Beta,Corporate,Mobile App,Direct,SP-110,Team Alpha,14.17,PayPal,Delivered,No,7,4,3,Medium,Donna Paulsen
ORD-10058,26-03-2025,28-03-2025,2025,March,1,13,Spring,CUST-656,Individual,50+,Male,Bronze,2780,PROD-BAG-513,Levis Bags,Accessories,Bags,Levis,New,3,178.1,0,Overnight,27.48,534.3,124.67,132.81,0.2486,530.97,1.0063,West,Seattle,WH-Gamma,Consumer,Mobile App,Affiliate,SP-100,Team Beta,6.64,Debit Card,Delivered,No,2,2,1,Medium,Mike Ross
ORD-10059,02-06-2025,09-06-2025,2025,June,2,23,Summer,CUST-137,Individual,26-35,Female,Bronze,607,PROD-SHI-964,Levis Shirts,Clothing,Shirts,Levis,New,15,94.38,0.2,Overnight,48.22,1132.56,66.07,93.29,0.0824,1125.5,1.0063,East,DC,WH-Beta,Home Office,Mobile App,Social Media,SP-107,Team Beta,4.66,PayPal,Delivered,No,7,2,1,Medium,Rachel Zane
ORD-10060,24-11-2025,27-11-2025,2025,November,4,48,Fall,CUST-909,Individual,18-25,Male,Bronze,1472,PROD-BED-845,Samsung Beds,Furniture,Beds,Samsung,New,3,239.34,0.05,Standard,20.46,682.12,167.54,159.04,0.2332,677.87,1.0063,West,Los Angeles,WH-Alpha,Consumer,Online,Affiliate,SP-149,Team Gamma,7.95,Cash,Delivered,No,3,1,1,Medium,Jane Smith
ORD-10061,15-02-2024,18-02-2024,2024,February,1,7,Winter,CUST-468,Small Business,18-25,Male,Bronze,2126,PROD-SHO-899,Levis Shoes,Clothing,Shoes,Levis,New,4,104.99,0,Overnight,48.67,419.96,73.49,77.33,0.1841,417.34,1.0063,North,New York,WH-Alpha,Consumer,In-store,Direct,SP-105,Team Gamma,3.87,Credit Card,Delivered,No,3,1,3,Medium,John Doe
ORD-10062,18-05-2023,21-05-2023,2023,May,2,20,Spring,CUST-818,Small Business,26-35,Other,Gold,1203,PROD-WAT-931,Nike Watches,Accessories,Watches,Nike,New,9,127.01,0,Express,31.24,1143.09,88.91,311.66,0.2726,1135.97,1.0063,North,New York,WH-Beta,Consumer,In-store,Search Engine,SP-141,Team Beta,15.58,Debit Card,Delivered,No,3,1,3,Medium,Jane Smith
ORD-10063,04-11-2025,05-11-2025,2025,November,4,45,Fall,CUST-931,Small Business,50+,Female,Platinum,1374,PROD-SHI-904,Nike Shirts,Clothing,Shirts,Nike,Refurbished,6,121.9,0,Overnight,25.77,731.4,85.33,193.65,0.2648,726.84,1.0063,West,Seattle,WH-Beta,Home Office,Online,Direct,SP-145,Team Alpha,9.68,Credit Card,Delivered,No,1,1,3,Medium,Jane Smith
